r_squared,p_value,p_value_restricted
1.746342512452222,0.001,0.001
1.6493836573056662,0.001,0.001
1.694849553919986,0.001,0.001
1.7636693909001133,0.001,0.001
1.7344717045029538,0.001,0.001
1.731623961883231,0.001,0.001
1.743000404978206,0.001,0.001
1.7585530487686531,0.001,0.001
1.7737667786291607,0.001,0.001
1.7205543362069105,0.001,0.001
1.7024870661910143,0.001,0.001
1.7600888245190915,0.001,0.001
1.7914517598459028,0.001,0.001
1.725054749888997,0.001,0.001
1.686772912786461,0.001,0.001
1.6708314786581346,0.001,0.001
1.7441932384773065,0.001,0.001
1.7466279077976026,0.001,0.001
1.7952912946929749,0.001,0.001
1.7268340969304068,0.001,0.001
1.7632032650382299,0.001,0.001
1.8075156216864456,0.001,0.001
1.6834864301062156,0.001,0.001
1.6937790310906653,0.001,0.001
1.7428679522252823,0.001,0.001
1.7479405897522258,0.001,0.001
1.6788079479228522,0.001,0.001
1.6850877923580396,0.001,0.001
1.7436134331776436,0.001,0.001
1.7040083406281425,0.001,0.001
1.7001211860399534,0.001,0.001
1.8011096726168672,0.001,0.001
1.7696222007133295,0.001,0.001
1.7014434845870265,0.001,0.001
1.7599724330566915,0.001,0.001
1.7173031305082225,0.001,0.001
1.8001330619710165,0.001,0.001
1.7378809747434782,0.001,0.001
1.7781226208341612,0.001,0.001
1.6987087296591388,0.001,0.001
1.7792739355393574,0.001,0.001
1.7625018491191424,0.001,0.001
1.7368089717567672,0.001,0.001
1.6883194057465332,0.001,0.001
1.7437794648426899,0.001,0.001
1.670589320834422,0.001,0.001
1.6672758665793181,0.001,0.001
1.746803763791218,0.001,0.001
1.71029054577541,0.001,0.001
1.7558197930697503,0.001,0.001
1.750477968975119,0.001,0.001
1.7094162125909886,0.001,0.001
1.7181185011884381,0.001,0.001
1.7269560642875854,0.001,0.001
1.7556930389703154,0.001,0.001
1.7200654632688175,0.001,0.001
1.724134514401746,0.001,0.001
1.7016571048652427,0.001,0.001
1.7156626551883234,0.001,0.001
1.7006468315877894,0.001,0.001
1.7327049414700406,0.001,0.001
1.7070585992020912,0.001,0.001
1.649328188168226,0.001,0.001
1.7436621045322656,0.001,0.001
1.749340277895496,0.001,0.001
1.698475482011572,0.001,0.001
1.7146212284839675,0.001,0.001
1.7610611945960655,0.001,0.001
1.6530124221647704,0.001,0.001
1.7229424521917274,0.001,0.001
1.693992423516522,0.001,0.001
1.7808974742723294,0.001,0.001
1.6571557281995613,0.001,0.001
1.713168450871088,0.001,0.001
1.7514234495481555,0.001,0.001
1.7298412764049549,0.001,0.001
1.808600498890842,0.001,0.001
1.7207912485065824,0.001,0.001
1.73068126776249,0.001,0.001
1.7300325618843968,0.001,0.001
1.7324362142347889,0.001,0.001
1.7651789636795572,0.001,0.001
1.7136679637206207,0.001,0.001
1.7057635110274896,0.001,0.001
1.7348307462051424,0.001,0.001
1.7283269285756206,0.001,0.001
1.7657203850920271,0.001,0.001
1.737619877140279,0.001,0.001
1.7444389798971986,0.001,0.001
1.7922933186679684,0.001,0.001
1.7957156093733748,0.001,0.001
1.728715873597353,0.001,0.001
1.7582909843638133,0.001,0.001
1.7172429887253533,0.001,0.001
1.6739700478846944,0.001,0.001
1.7440673369666098,0.001,0.001
1.7259975514483175,0.001,0.001
1.7526345784854953,0.001,0.001
1.7694034759595387,0.001,0.001
1.7593186110391832,0.001,0.001
