r_squared,p_value,p_value_restricted
0.12595293369672855,0.125,0.048
0.11631957178560708,0.189,0.079
0.15847016262008484,0.05,0.01
0.12370985171722265,0.145,0.06
0.1255081216950363,0.122,0.058
0.15842762705572067,0.054,0.019
0.1192407531984948,0.147,0.074
0.12007141284083216,0.142,0.067
0.14263489262640786,0.071,0.037
0.1238401731271412,0.123,0.057
0.12104200774519848,0.13,0.067
0.15705403842975013,0.038,0.017
0.12962713776404602,0.104,0.045
0.12799487660738984,0.12,0.052
0.13713294621331729,0.088,0.03
0.12183681725742136,0.118,0.051
0.12660210989577617,0.108,0.046
0.13616849136513337,0.095,0.03
0.10524732886911779,0.237,0.144
0.14373028276199626,0.063,0.027
0.14354099690659258,0.066,0.039
0.14685793951793064,0.066,0.017
0.16091802435297461,0.034,0.013
0.12981452465320725,0.089,0.039
0.14336609769359715,0.061,0.024
0.11485942015087337,0.166,0.098
0.15734555163488034,0.04,0.014
0.1660804264851769,0.026,0.013
0.1438594332872128,0.078,0.026
0.1398430517772186,0.068,0.021
0.1127229508817029,0.169,0.111
0.1301649728688808,0.106,0.043
0.1519961422094433,0.049,0.015
0.13760971633665037,0.081,0.034
0.16882929379475517,0.025,0.015
0.15287718675262152,0.057,0.022
0.11986000998776647,0.162,0.065
0.11210454459489913,0.195,0.111
0.13375778557318013,0.085,0.033
0.15957371387617345,0.04,0.008
0.15185974648625722,0.047,0.012
0.12013176052945711,0.138,0.068
0.1485453552727774,0.045,0.017
0.1365572994541557,0.086,0.04
0.1527090962170594,0.054,0.018
0.12618899803456318,0.125,0.069
0.11567200517631664,0.17,0.08
0.09791632381796059,0.317,0.174
0.14366212029944217,0.068,0.026
0.11937451982361504,0.17,0.061
0.12693739948640004,0.122,0.066
0.15583645516360436,0.051,0.02
0.1316626975130671,0.093,0.046
0.15984618247758758,0.047,0.016
0.1235554483869628,0.147,0.051
0.15339737968025982,0.037,0.027
0.12958608755510487,0.106,0.039
0.13469081059262636,0.082,0.048
0.16155513253093048,0.032,0.015
0.1381806718982631,0.073,0.04
0.11333271957955121,0.197,0.094
0.13189840913284817,0.108,0.041
0.11469807926147207,0.179,0.08
0.13615133918554398,0.087,0.043
0.15001345363542543,0.062,0.016
0.14943292936064154,0.059,0.019
0.13333060402964278,0.094,0.051
0.1434683073951373,0.067,0.035
0.1224654609033342,0.133,0.078
0.10467782347059484,0.246,0.154
0.14382842677524027,0.059,0.035
0.1336702366969089,0.098,0.037
0.1644473571538396,0.026,0.007
0.11114417975955856,0.199,0.108
0.14227444664698288,0.06,0.024
0.1414037066584217,0.056,0.017
0.14781840106589003,0.048,0.017
0.14275895316202708,0.071,0.023
0.13801224287997552,0.087,0.026
0.12818072501293487,0.122,0.047
0.11245501191401075,0.199,0.099
0.13541480872788636,0.079,0.037
0.14468831401079577,0.05,0.022
0.15483531760836175,0.051,0.018
0.1352820613958542,0.078,0.026
0.11817644004144164,0.152,0.067
0.13381694798953428,0.08,0.027
0.11326446448080664,0.183,0.075
0.1299540474401408,0.108,0.038
0.11116294708419208,0.203,0.105
0.14375662996975666,0.055,0.033
0.12414115555593522,0.129,0.034
0.13387010666156696,0.092,0.034
0.12486147906597246,0.147,0.064
0.13401909087180588,0.091,0.032
0.13534896707887498,0.063,0.03
0.12676787591603972,0.122,0.058
0.13072434503011465,0.111,0.061
0.13359107864834738,0.082,0.034
0.10572574367259406,0.216,0.108
