r_squared,p_value
0.2121497696527944,0.004
0.2072467168567166,0.007
0.2711174651476031,0.001
0.23549339580777764,0.004
0.20506737586767732,0.012
0.1405737886613099,0.078
0.1769314175436843,0.018
0.21200645563819984,0.006
0.24086323497767892,0.002
0.16527033379797434,0.033
0.29186928306965443,0.001
0.22888573249734626,0.003
0.16986454258877579,0.021
0.17937112566655697,0.016
0.2494935808470667,0.003
0.1859582449441167,0.025
0.24026803517041978,0.003
0.2917982955888375,0.002
0.22143513877923943,0.008
0.21385493081722368,0.011
0.23514457885365794,0.005
0.20867656070599144,0.013
0.20283159774367518,0.014
0.2433736522767548,0.006
0.24236608407528767,0.003
0.2339464406857628,0.006
0.21051639796104826,0.006
0.25395127394343986,0.001
0.1762617533348111,0.015
0.2381636738291594,0.004
0.17554785883964433,0.024
0.20578466572076676,0.006
0.3146135326667517,0.001
0.2389492196166239,0.001
0.22720633049275418,0.003
0.1933797231440374,0.015
0.22476987523408457,0.006
0.22121009802378808,0.005
0.18564281167083554,0.015
0.1739939712146917,0.017
0.2107703176463741,0.007
0.21303453583015097,0.007
0.2354978174022321,0.004
0.2690506600904737,0.001
0.1916948512804657,0.018
0.25286136074329335,0.002
0.23847608181965418,0.006
0.20852054041141455,0.014
0.21361992233952012,0.008
0.22196447327569174,0.006
0.2974364346354909,0.002
0.19149674888248422,0.014
0.1950185799732102,0.008
0.190848332771286,0.014
0.22290828064304066,0.006
0.1927380668823223,0.017
0.20101474818465456,0.012
0.265396292017679,0.004
0.23191269708177686,0.005
0.21095925041930286,0.011
0.15327834771762278,0.055
0.24138055543377915,0.004
0.21328610280299418,0.003
0.25532642936254796,0.002
0.21632272778760697,0.01
0.19790147646797243,0.012
0.29316092583437803,0.001
0.21155730164467454,0.006
0.2589124624605026,0.001
0.2439127916892536,0.002
0.1498423201976721,0.052
0.16043940822770386,0.048
0.22152799904971815,0.01
0.2563372881437298,0.001
0.25415583730392083,0.004
0.16723534234830087,0.031
0.22282874221958918,0.006
0.23552990011366415,0.003
0.20070386377955243,0.009
0.22487037071757532,0.005
0.18620522308276677,0.019
0.29547221991488043,0.001
0.3023466656758069,0.001
0.1848446582638325,0.014
0.18498552368940485,0.019
0.18737619402732839,0.013
0.2074888969930794,0.007
0.1703994457285444,0.022
0.197318062845976,0.017
0.1681734771437357,0.033
0.28404639182008334,0.001
0.1825022979666815,0.016
0.21960893452864652,0.008
0.19619395429780706,0.013
0.16112799051212523,0.037
0.19612332654667658,0.017
0.3091179145067974,0.002
0.1793278671630152,0.023
0.22688106343631398,0.003
0.21478454470036318,0.006
